qualifier_weight,continental_finals_weight,world_cup_finals_weight,accuracy,log_loss,brier_score
1.0,1.0,1.0,0.5538231309025461,0.9581930348439738,0.5687957387632453
1.0,1.0,1.25,0.5538837994701612,0.9582959282963062,0.5688548697054644
1.0,1.0,1.5,0.5538231309025461,0.9584509616753748,0.5689397299336358
1.0,1.0,2.0,0.5535197880644704,0.9589091499347864,0.5691728227939757
1.0,1.25,1.0,0.553620902343829,0.9582863712657467,0.5688312571119584
1.0,1.25,1.25,0.5535197880644704,0.9583907006205863,0.5688914553583403
1.0,1.25,1.5,0.5533782280733686,0.95854590478617,0.5689765288291607
1.0,1.25,2.0,0.5531962223705231,0.9590028876866843,0.5692096436651538
1.0,1.5,1.0,0.5534186737851119,0.9585404772341538,0.5689577975044782
1.0,1.5,1.25,0.5532568909381382,0.9586454910557994,0.569018315402519
1.0,1.5,1.5,0.5531557766587798,0.9588013293015688,0.5691036481105061
1.0,1.5,2.0,0.5528726566765758,0.9592603172871228,0.569337854234562
1.0,2.0,1.0,0.552387308135655,0.959461019088923,0.5694393628868814
1.0,2.0,1.25,0.5527108738296023,0.9595655433542506,0.5694990976398666
1.0,2.0,1.5,0.5524681995591417,0.959722577609568,0.569584512688271
1.0,2.0,2.0,0.5521446338651944,0.9601861656858709,0.5698201591279414
1.25,1.0,1.0,0.5527310966854739,0.9584984083037329,0.5689514487244308
1.25,1.0,1.25,0.5523266395680398,0.9585937155991215,0.5690044055360308
1.25,1.0,1.5,0.5527513195413456,0.9587396083987284,0.5690816864802917
1.25,1.0,2.0,0.5527715423972174,0.9591795695100255,0.5692989673871256
1.25,1.25,1.0,0.552650205261987,0.9585740932730508,0.5689746510850594
1.25,1.25,1.25,0.5525288681267568,0.9586705858636916,0.569028552823428
1.25,1.25,1.5,0.5527715423972174,0.958816093513252,0.5691058201436703
1.25,1.25,2.0,0.552650205261987,0.9592549485507724,0.5693235222393342
1.25,1.5,1.0,0.5521244110093227,0.95880494941787,0.5690856664471947
1.25,1.5,1.25,0.5522659710004246,0.9589020109143725,0.5691399719680545
1.25,1.5,1.5,0.552387308135655,0.9590481958388603,0.5692176623771132
1.25,1.5,2.0,0.5521446338651944,0.9594880091973367,0.5694360181877153
1.25,2.0,1.0,0.5516997310360169,0.9596633355107814,0.5695293071067495
1.25,2.0,1.25,0.5514570567655565,0.9597595150395023,0.5695827829425335
1.25,2.0,1.5,0.5516188396125301,0.9599059067924266,0.5696606045499848
1.25,2.0,2.0,0.5517806224595038,0.9603471279304994,0.5698796273701708
1.5,1.0,1.0,0.5511941596392242,0.9594622279001932,0.5695055061278428
1.5,1.0,1.25,0.5511334910716091,0.9595522345790152,0.5695529071703743
1.5,1.0,1.5,0.5511941596392242,0.9596896484268298,0.5696234537822323
1.5,1.0,2.0,0.5509717082246355,0.960116692784636,0.5698285856009702
1.5,1.25,1.0,0.5514570567655565,0.9595194185372052,0.56951761629381
1.5,1.25,1.25,0.5513154967744545,0.9596112330137622,0.5695660443519808
1.5,1.25,1.5,0.5511739367833526,0.9597481731138263,0.5696365889379551
1.5,1.25,2.0,0.5508705939452769,0.9601730571870728,0.5698415725108946
1.5,1.5,1.0,0.5505672511072014,0.9597309173916099,0.5696159379298509
1.5,1.5,1.25,0.5506481425306882,0.9598239434917974,0.5696647941131254
1.5,1.5,1.5,0.5506683653865599,0.9599619897447971,0.5697361215250277
1.5,1.5,2.0,0.5505672511072014,0.9603869797317347,0.569941372990637
1.5,2.0,1.0,0.5504459139719711,0.9605402011471923,0.570028288970865
1.5,2.0,1.25,0.5504661368278428,0.960633646449006,0.5700767759110776
1.5,2.0,1.5,0.5503650225484843,0.9607723463741028,0.5701480758188896
1.5,2.0,2.0,0.5504661368278428,0.9612000440234355,0.5703546807900185
